SITECODE,SITENAME,SITETYPE,n_species,n_obs,flanders,wallonia,brussels
BE2300006,Schelde- en Durmeëstuarium van de Nederlandse grens tot Gent,B,28,28856,TRUE,FALSE,FALSE
BE2301235,Durme en Middenloop van de Schelde,A,24,15603,TRUE,FALSE,FALSE
BE2223316,De Demervallei,A,24,9738,TRUE,FALSE,FALSE
BE2100040,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor.",B,24,6872,TRUE,FALSE,FALSE
BE2100017,Bos- en heidegebieden ten oosten van Antwerpen,B,24,4086,TRUE,FALSE,FALSE
BE2100026,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",B,23,4230,TRUE,FALSE,FALSE
BE2400014,Demervallei,B,22,9955,TRUE,FALSE,FALSE
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",A,22,4993,TRUE,FALSE,FALSE
BE2500001,Duingebieden inclusief Ijzermonding en Zwin.,B,20,2945,TRUE,FALSE,FALSE
BE2300007,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen.,B,19,4745,TRUE,FALSE,FALSE
BE2301336,Schorren en Polders van de Beneden-Schelde,A,18,6882,TRUE,FALSE,FALSE
BE2400011,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",B,18,6650,TRUE,FALSE,FALSE
BE2200031,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden.",B,18,5701,TRUE,FALSE,FALSE
BE2300005,Bossen en heiden van zandig Vlaanderen: oostelijk deel,B,18,3873,TRUE,FALSE,FALSE
BE2500004,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",B,18,2284,TRUE,FALSE,FALSE
BE2200037,Uiterwaarden langs de Limburgse Maas met Vijverbroek,B,18,2058,TRUE,FALSE,FALSE
BE2500002,Polders,B,17,8947,TRUE,FALSE,FALSE
BE2500932,Poldercomplex,A,17,7166,TRUE,FALSE,FALSE
BE2100024,"Vennen, heiden en moerassen rond Turnhout",B,17,4369,TRUE,FALSE,FALSE
BE2101639,Ronde Put,A,17,1330,TRUE,FALSE,FALSE
BE2422315,De Dijlevallei,A,16,5176,TRUE,FALSE,FALSE
BE2100045,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,16,3064,TRUE,FALSE,FALSE
BE32017C0,Vallée de la Haine en aval de Mons,C,16,2084,FALSE,TRUE,FALSE
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",A,16,1439,TRUE,FALSE,FALSE
BE2219312,Vijvercomplex van Midden Limburg,A,15,5409,TRUE,FALSE,FALSE
BE2300044,Bossen van het zuidoosten van de Zandleemstreek,B,15,2777,TRUE,FALSE,FALSE
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",A,15,2710,TRUE,FALSE,FALSE
BE2200033,Abeek met aangrenzende moerasgebieden,B,15,2179,TRUE,FALSE,FALSE
BE2200034,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",B,15,607,TRUE,FALSE,FALSE
BE2100016,Klein en Groot Schietveld,B,15,525,TRUE,FALSE,FALSE
BE2500831,Ijzervallei,A,14,3273,TRUE,FALSE,FALSE
BE2400012,Valleien van de Winge en de Motte met valleihellingen.,B,14,2637,TRUE,FALSE,FALSE
